,sepallength,sepalwidth,petallength,petalwidth,cluster,distance,class
81,5.5,2.4,3.7,1.0,1.0,2.9471559145498993,Iris-versicolor
82,5.8,2.7,3.9,1.2,1.0,1.6527229248591788,Iris-versicolor
83,6.0,2.7,5.1,1.6,1.0,0.15457859496226878,Iris-versicolor
84,5.4,3.0,4.5,1.5,1.0,1.0735476671272155,Iris-versicolor
85,6.0,3.4,4.5,1.6,1.0,0.5738569454777335,Iris-versicolor
86,6.7,3.1,4.7,1.5,1.0,0.31004251248804565,Iris-versicolor
87,6.3,2.3,4.4,1.3,1.0,0.8130322032096948,Iris-versicolor
88,5.6,3.0,4.1,1.3,1.0,1.3984961207354665,Iris-versicolor
89,5.5,2.5,4.0,1.3,1.0,1.8670528217663935,Iris-versicolor
90,5.5,2.6,4.4,1.2,1.0,1.2818981825911344,Iris-versicolor
91,6.1,3.0,4.6,1.4,1.0,0.2695270485705183,Iris-versicolor
92,5.8,2.6,4.0,1.2,1.0,1.4982899351684569,Iris-versicolor
93,5.0,2.3,3.3,1.0,2.0,4.615504682622269,Iris-versicolor
94,5.6,2.7,4.2,1.3,1.0,1.258702306302476,Iris-versicolor
95,5.7,3.0,4.2,1.2,1.0,1.1957126155808262,Iris-versicolor
96,5.7,2.9,4.2,1.3,1.0,1.0938569454777332,Iris-versicolor
97,6.2,2.9,4.3,1.3,1.0,0.6010734403230965,Iris-versicolor
98,5.1,2.5,3.0,1.1,2.0,3.3835691987513017,Iris-versicolor
99,5.7,2.8,4.1,1.3,1.0,1.2629291104261882,Iris-versicolor
100,6.3,3.3,6.0,2.5,1.0,1.9016919970241222,Iris-virginica
101,5.8,2.7,5.1,1.9,1.0,0.3474651929004121,Iris-virginica
102,7.1,3.0,5.9,2.1,1.0,1.7004548836220645,Iris-virginica
103,6.3,2.9,5.6,1.8,1.0,0.4222074609416497,Iris-virginica
104,6.5,3.0,5.8,2.2,1.0,1.014269316611753,Iris-virginica
105,7.6,3.0,6.6,2.1,1.0,4.557155914549899,Iris-virginica
106,4.9,2.5,4.5,1.7,1.0,2.322826017642677,Iris-virginica
107,7.3,2.9,6.3,1.8,1.0,2.8078775640344356,Iris-virginica
108,6.7,2.5,5.8,1.8,1.0,1.027155914549899,Iris-virginica
109,7.2,3.6,6.1,2.5,1.0,3.266124986714847,Iris-virginica
110,6.5,3.2,5.1,2.0,1.0,0.2502486980550535,Iris-virginica
111,6.4,2.7,5.3,1.9,1.0,0.2027229248591768,Iris-virginica
112,6.8,3.0,5.5,2.1,1.0,0.7180837496014455,Iris-virginica
113,5.7,2.5,5.0,2.0,1.0,0.6048878733127829,Iris-virginica
114,5.8,2.8,5.1,2.4,1.0,0.7742693166117516,Iris-virginica
115,6.4,3.2,5.3,2.3,1.0,0.5894239557870109,Iris-virginica
116,6.5,3.0,5.5,1.8,1.0,0.3562280794983521,Iris-virginica
117,7.7,3.8,6.7,2.2,1.0,6.077465192900417,Iris-virginica
118,7.7,2.6,6.9,2.3,1.0,6.172619832075674,Iris-virginica
119,6.0,2.2,5.0,1.5,1.0,0.6021043681581458,Iris-virginica
120,6.9,3.2,5.7,2.3,1.0,1.371382718673611,Iris-virginica
121,5.6,2.8,4.9,2.0,1.0,0.5948878733127831,Iris-virginica
122,7.7,2.8,6.7,2.0,1.0,5.089011584652995,Iris-virginica
123,6.3,2.7,4.9,1.8,1.0,0.049114677436497015,Iris-virginica
124,6.7,3.3,5.7,2.1,1.0,1.0428260176426822,Iris-virginica
125,7.2,3.2,6.0,1.8,1.0,2.0013827186736117,Iris-virginica
126,6.2,2.8,4.8,1.8,1.0,0.05375385269422886,Iris-virginica
127,6.1,3.0,4.9,1.8,1.0,0.06756828568391887,Iris-virginica
128,6.4,2.8,5.6,2.1,1.0,0.5917950898076293,Iris-virginica
129,7.2,3.0,5.8,1.6,1.0,1.5378775640344369,Iris-virginica
130,7.4,2.8,6.1,1.9,1.0,2.5593208630035096,Iris-virginica
131,7.9,3.8,6.4,2.0,1.0,5.560661069189078,Iris-virginica
132,6.4,2.8,5.6,2.2,1.0,0.6826198320756705,Iris-virginica
133,6.3,2.8,5.1,1.5,1.0,0.06581570836433198,Iris-virginica
134,6.1,2.6,5.6,1.4,1.0,0.6212796258901033,Iris-virginica
135,7.7,3.0,6.1,2.3,1.0,3.637362100116911,Iris-virginica
136,6.3,3.4,5.6,2.4,1.0,1.1705579764055658,Iris-virginica
137,6.4,3.1,5.5,1.8,1.0,0.35911467743649605,Iris-virginica
138,6.0,3.0,4.8,1.8,1.0,0.13952704857051657,Iris-virginica
139,6.9,3.1,5.4,2.1,1.0,0.7623105537251583,Iris-virginica
140,6.7,3.1,5.6,2.4,1.0,1.1116919970241246,Iris-virginica
141,6.9,3.1,5.1,2.3,1.0,0.7892177702200034,Iris-virginica
142,5.8,2.7,5.1,1.9,1.0,0.3474651929004121,Iris-virginica
143,6.8,3.2,5.9,2.3,1.0,1.5980837496014448,Iris-virginica
144,6.7,3.3,5.7,2.5,1.0,1.5261249867148465,Iris-virginica
145,6.7,3.0,5.2,2.3,1.0,0.5951971516633013,Iris-virginica
146,6.3,2.5,5.0,1.9,1.0,0.19282601764268248,Iris-virginica
147,6.5,3.0,5.2,2.0,1.0,0.2031352959931979,Iris-virginica
148,6.2,3.4,5.4,2.3,1.0,0.8334445743437109,Iris-virginica
149,5.9,3.0,5.1,1.8,1.0,0.20447550217876256,Iris-virginica
